entity,predict,output
POI,apotek adhyaksa farma,apotek adhyaksa farma
POI,suka asih bunda,suka 
POI,palm spring regency,palm spring regency
POI,taman ceria,taman ceria
POI,am7 cell,am7 cell
POI,"sd neg 057 ara cond binjai-tanjung pura, stabat",sd neg 057 ara cond binjai-t
POI,rph pulogadung,rph pulogadung
POI,"dip war nasi pak iyin,",dip war nasi pak iyi
POI,dirty chicks,dirty chicks
POI,happy day organ,"happy day organ, ba"
POI,tegal alur mas jami' bai,tegal alur mas jami' bai hasa
POI,bakso urat dan mie ayam,bakso urat dan mie ayam
POI,teddy house p3,"teddy house p3,"
POI,kuda toko,kuda toko ke
POI,"sari wangi cate, taman","sari wangi cate, ta"
POI,griya abdi cilendek,griya abdi cilendek
POI,warung bunga,warung bunga
POI,toko anastasia acc,toko anastasia acc
POI,banjar dinas kawanan,banjar dinas kawanan
POI,"war rama jaya, pisa","war rama jaya, p"
POI,kan kep pertan kota samar loa,kan kep pertan kota samar loa janan ili
POI,perum griya kencana,perum griya kencana
POI,prasm ibu sumi,"prasm ibu sumi, raya "
POI,"adi gor, lawu,","adi gor, l"
POI,ayam nyeresep,"ayam nyeresep, kebay lama cil"
POI,ganda manah,ganda manah
POI,toko moyomi,toko moyomi
POI,alfa,"alfa, pa"
POI,rental mobil trent,rental mobil trent
POI,tambang ayam,tambang ayam
POI,sman 4 banjar,"sman 4 banjar, tel"
POI,kpa regency,kpa regency
POI,atm bri,atm bri
POI,pasar wajak,pasar wajak
POI,muara baru,muara baru
POI,surya jaya pratama. cv,surya jaya pratama. cv
POI,"smk mand pagel,","smk mand pagel,"
POI,kos kosan pondok kedaton,kos kosan pondok kedaton
POI,"beng & dealer chevr samarinda, haji","beng & dealer chevr samarinda, haji "
POI,konveksi syai,"konveksi syai, a"
POI,perusahaan daerah air minum purwakarta,perusahaan daerah air minum purwakarta
POI,zona soft drink,zona soft drink
POI,dusun setana,dusun setana
POI,tanj pura no 34,warji
POI,puskesmas cileunyi wetan,puskesmas cileunyi wetan
POI,tb anug utama,tb anug utama bo
POI,rumahpr,"rumahpr,"
POI,kampus 2 uin walisongo,kampus 2 uin walisongo
POI,raya boj,raya boj ra ka
POI,cordoba d27,cordoba d27
POI,abdee fish team 86,"abdee fish team 86, m"
POI,rust cell,rust cell
POI,balai desa din demit,balai desa din de
POI,ds. kenanti,ds. ke
POI,sei bejang,"sei bejang,"
POI,oscar ud,oscar ud
POI,toko peralatan,toko peralatan
POI,dokter gigi chai maulidi sp kg,"dokter gigi chai maulidi sp kg, p"
POI,"vr fash export pt,","vr fash export pt,"
POI,h. jahr,"h. jahr, i"
POI,"bek barat 8 bata,",bek 
POI,tk idhata 1,tk idhata 1
POI,ruko sentral,ruko sentral
POI,ayam pen pedo aa,"ayam pen pedo aa 57, b"
POI,terminal haji. pt,terminal haji. pt
POI,"cent pt tbk, laksamana","cent pt tbk, la"
POI,"kan kep desa kasi,","kan kep desa kasi, kasimpar"
POI,lege educa group,lege educa group dr. ma
POI,toko buku fau,"toko buku fau, p"
POI,"nga jaya ten, no","nga jaya ten, no 61"
POI,mon jaya motor,"mon jaya motor, j"
POI,stmj durenan,stmj durenan
POI,mi swasta,"mi swasta teru payung, ta"
POI,stock house,stock house
POI,"bunga tanj restaurant, gun","bunga tanj restaurant, g"
POI,kelur kacapi,"kelur kacapi, suka d"
POI,cafe mang,"cafe mang, j"
POI,linaya community,linaya community living
POI,himajaya,himajaya
POI,perumahan wahana,perumahan wahana
POI,warung kopi bang gendut,warung kopi bang gendut
POI,indopalm perkasa,indopalm perkasa
POI,pelabuhan desa humusu wini,rt 03 rw 01 ca
POI,smp negeri 4 sumberasih,smp negeri 4 sumberasih
POI,kedai chili,kedai chili padi
POI,toko nayla,toko nayla
POI,graha prima baru,graha prima baru
POI,toko abid jaya,toko abid jaya
POI,giggl,"giggl, ra"
POI,kios tri,"kios tri kenc,"
POI,exo jaya trail,"exo jaya trail, s"
POI,"pegad, babe","pegad, ba"
POI,mis al amin,mis al amin
POI,r3d's sport,r3d's sport
POI,dewan pimp daerah ors,"dewan pimp daerah ors, kalig"
POI,"perumahan nua indah prat, perum","perumahan nua indah prat, peru"
POI,happy freel,happy freel desi bant ba
POI,toko jok mul,toko jok mul
POI,ema war kh,ema war kh
POI,best meat,best meat
POI,lippo cyber park,lippo cyber park
POI,denbeka 062 dam iii sil,"denbeka 062 dam iii sil, cile, kotaku"
POI,cijantung mal cijantung pen,mal cijantung
POI,komplek purinusa karawaci,komplek purinusa
POI,kp kebon kopi,kp kebon kopi
POI,tpu bulu,tpu bulu ti
POI,sewa,"sewa kam sala, sidor"
POI,griya salsabila permai,griya salsabila permai
POI,kedai es kelapa the kokos,kedai es kelapa the kokos
POI,mas mutt,"mas mutt,"
POI,santos pertama pt,santos pertama pt
POI,"pen, war","pen, war bapak aj"
POI,dki,dki
POI,"poto, jogja jaya","poto, jogja jaya fur"
POI,penurunan skater putri,skater
POI,"ayam gep sore kelapa gading, summa","ayam gep sore kelapa gading, s"
POI,perum buana imp,perum buana i
POI,seberang guest house,jl. soekar
POI,raya kla war gmac,raya kla war gma
POI,griya yuni hijab,griya yuni hijab
POI,slamet,slamet riyadi
POI,wisata bukit mas,wisata 
POI,bakmi jogja pak sumeh,bakmi jogja pak sumeh
POI,tower emerald a,tower emerald
POI,man dua mall,jl man dua raya
POI,"badan ketah pan provinsi riau, kuan","badan ketah pan provinsi riau, kuan "
POI,perumahan jaya permai,perumahan jaya permai
POI,cipagalo rohis,cipag
POI,nasi krawu bu lilik,nasi krawu bu lilik
POI,toko batik mamat jafar dewi,toko batik mamat jafar
POI,ekspedisi agro karya bersama,ekspedisi agro karya ber
POI,taman 5 ulu,taman 5 ulu
POI,"kelo anugrah quin, gusung","kelo anugrah quin, gu"
POI,toko beras rez amor,toko beras rez amor pasar
POI,pangkas rambut athirah,pangkas rambut athirah
POI,pakutandang toko eni,pakutand
POI,karya jaya no 227a,karya jaya no 227a madr tsanaw
POI,"kb put pert,","kb put pert, tepu"
POI,toko sani,toko sani gun
POI,partai nasdem,"partai nasdem kota tasikm, sam"
POI,pangkas rambut alfin nugraha,pangkas rambut alfin nugraha
POI,"pt taurus per, tol","pt taurus per, t"
POI,es teler 77-tsc,es teler 77-tsc
POI,waroenk nina,waroenk nina
POI,graha sampurna,graha sampurna
POI,dinas pertambangan & tenaga,dinas pertambangan & tenaga kerja
POI,wisata semanggi,wisata semanggi
POI,padang halaban,padang halaban
POI,rizal,rizal
POI,jamstationmalan sur,"jamstationmalan sur, kepa"
POI,"soto dag, raya","soto dag, r"
POI,toko muhammad semayap,toko muhammad
POI,kast,"kast, k"
POI,perum griya dinar,perum griya dinar
POI,bet jaya toko,"bet jaya toko, b"
POI,bright,bright
POI,puspit raya,puspit raya
POI,poris plawad,poris plawad
POI,perumahan bayur sarana indah,perumahan bayur sarana indah
POI,galery warna kha hijab,"galery warna kha hijab, p"
POI,"spesial pen mbak tutik,","spesial pen mbak tutik,"
POI,best pt radio,"best pt radio, r"
POI,mokko factory,mokko factory
POI,toko kaca,toko kaca
POI,"rumah makan hara, pan","rumah makan hara, p"
POI,kantor desa tandan,kantor desa
POI,pt ranc indah sentosa rise,"pt ranc indah sentosa rise, s"
POI,"jend sudi,",jend sud
POI,kebab super boo,kebab super boo
POI,harco,harco
POI,alli fran?? de medan,"alli fran?? de medan, has, n"
POI,"raya ciang, no 35 kan notaris","raya ciang, no 35 kan not"
POI,klinik zihad insani,klinik zihad insani
POI,pt. colombus,pt. colombus
POI,commercial area,"commercial area, ruko buah batu"
POI,aj sport kapal,aj sport
POI,lapangan merdeka,lapangan merdeka bintuhan
POI,jatirahayu,"orc, 20 jatirahay"
POI,warung pen,"warung pen, s"
POI,dema baru no 12,dema baru no 1
POI,"brig s. sudi,",brig s. sud
POI,untung suro,untung sur
POI,"war es pak nur, perum","war es pak nur, p"
POI,"sumber sari lemb bimbi bela primagama jawa,",sumber sari lemb bimbi bela primaga
POI,family tour,family tour
POI,pemakaman cupak,pemakaman cupak
POI,indon stock exch ( idx ) tower 2 l12 & l15,indon stock exch ( idx ) tower 2 l12 & l15 jen
POI,lorist flower grosir and supp,"lorist flower grosir and supp, ra"
POI,lucky watch,lucky watch
POI,"kli bazda, citra","kli bazda, c"
POI,al harotut tholib,al harotut tholib ray
POI,"klinik prat med, suwa","klinik prat med, suwa"
POI,house of pastri and cakes,house of pastri and cakes
POI,smp pgri 32,smp pgri 32
POI,wulan,"wulan fash,"
POI,sd neg 212 mattun tel,sd neg 212 mattun tel
POI,"warung mewah (warung mepet saw, pain","warung mewah (warung mepet saw, p"
POI,str 4x4 k,str 4x4 k h w
POI,diya motor,diya motor
POI,pipit one,pipit one
POI,kalimulyo kel.,kalimulyo kel.
POI,margo suko group pt,margo suko group pt
POI,"kara, mitra","kara, mitra "
POI,"ged gad mar inko lantai dua, jl","ged gad mar inko lantai dua, jl. raya bo"
POI,kedai mie kdl,kedai mie kdl
POI,taman baca sudut,"taman baca sudut kamp, t"
POI,jawa indah expr,"jawa indah expr, r"
POI,ayuki cell,ayuki cell
POI,yesa juice,yesa juice
POI,teras country residence,teras country residence
POI,kud gemi,"kud gemi tani mak, d"
POI,"bjb kan kas cariu, cariu","bjb kan kas cariu, c"
POI,"uniqa salon & laun, purwo","uniqa salon & laun, p"
POI,citra green garden,ters citra green garden
POI,"angkri perm, perm","angkri perm, perm "
POI,pand citra prima pt,"pand citra prima pt, c"
POI,isi ulang apar cikande,isi ulang apar cikande
POI,pt. bukit mas prima,pt. bukit mas prima pers su
POI,spbu bulu,spbu bulu
POI,"i, 5","i, 5 toko wi"
POI,"toko sum jaya makmur, abdul","toko sum jaya makmur, a"
POI,sumex transp,"sumex transp, la"
POI,gandaria pekayon,gandaria pekayon
POI,"seko menengah keju (smk) bpi bur,","seko menengah keju (smk) bpi bur, l"
POI,tirtamulya,tirtamulya
POI,puri orga farm,"puri orga farm, 8"
POI,"toko gor wuluh, uluh","toko gor wuluh, u"
POI,isnaini,isnaini
POI,toko mam,toko mam plas
POI,mts swa mift ulum 45674,mts swa mift ulum 45674
POI,perumahan graha bumi ayu,perumahan graha
POI,dokter andra,dokter andra
POI,bank bii pt,bank bii pt
POI,griya sehat fitri,griya sehat fitri
POI,"sd neg inp petakeang, galung","sd neg inp petakeang, galu"
POI,zaza laundry,zaza laundry
POI,konco lama,konco lama
POI,"karan,","karan, 1"
POI,"sppbe giga int, abdul","sppbe giga int, a"
POI,"raya cibu,","raya cibu, reklame dan perce"
POI,reklame dan percetakan,"raya cibu, reklame dan perce"
POI,chandra dimuka,chandra dimuka
POI,asrama tni ad,asrama tni ad
POI,jembatan ampera,jembatan ampera
POI,"kem 1, no","kem 1, no 6 cara"
POI,waters tong,"waters tong,"
POI,bp sukar,"bp sukar, ra"
POI,gerbang permai,gerbang permai
POI,bank jabar banten,bank jabar banten
POI,pasar mod muti kara c 6 dap cianjur,pasar mod muti
POI,perum bumi anugerah,perum bumi anugerah
POI,toko karunia,toko karunia
POI,smk swasta dha utama,"smk swasta dha utama, 3"
POI,"pang ram galunggung titasik, raya","pang ram galunggung titasik, raya"
POI,ketapang daya masjid nurul,ketapang daya mas
POI,alfamart,alfamart
POI,masjid bai roh,"masjid bai roh,"
POI,aneka jaya auto mobil,aneka jaya auto mobil
POI,"depo 2, no",gadjian.com
POI,jl.kebun,jl.kebun raya cibo
POI,lestari residence,lestari residence
POI,kedai bar harian azam,"kedai bar harian azam,"
POI,tower sakura,apartemen ka
POI,pasar rumput,pasar rumput
POI,gar putra putri jaya pt,gar putra putri jaya pt
POI,ptp link,ptp link
POI,ipah toko,ipah toko
POI,perum dirgantara permai,perum dirgantara permai
POI,ayam gepuk,ayam gepuk
POI,s. supr no 44,aneka stationary
POI,aneka stationary,aneka stationary
POI,happy barber shop,happy barber shop
POI,emon salon,emon salon
POI,pt waru gun sep ap,pt waru gun sep ap boot mastr
POI,"lyrics fam kara, soek","lyrics fam kara, soek"
POI,rusun cakung km2,rusun cakung km2
POI,jatnika motor oil,jatnika motor oil
POI,nasion indo mart,nasion in
POI,"dha wanita persatuan kecam cilacap utara kan, gumilir","dha wanita persatuan kecam cilacap utara kan, g"
POI,andika photografi kios,kios pasar
POI,taman wis alam wera,"taman wis alam wera,"
POI,kavling polri,kavling polri
POI,gopala tour,gopala tour
POI,karang tar tri,"karang tar tri tunggal dudakawu, r"
POI,barokah. cv,barokah. cv
POI,habitat terrace residence,habitat terrace residence
POI,kebun raya massenrempulu enrekang,karrang kebun raya massenrempulu 
POI,fadil,fadil
POI,anug baru,"anug baru, g"
POI,"dr fl tob, no 153","dr fl tob, no 153 smp s"
POI,bengkel motor,bengkel motor
POI,"war nasi rind,","war nasi rind, t"
POI,pah,"pah, d"
POI,"haji amsar, no 51","haji amsar, no 51 warung nasi u"
POI,warung nasi uduk betawi po,"haji amsar, no 51 warung nasi u"
POI,mayb,mayb le
POI,moshi moshi ramen,moshi moshi ramen
POI,war edi lin,war edi li
POI,far helm,"far helm, r"
POI,toko desro,toko desro
POI,solihin,solihin
POI,bubur ayam bontot,bubur ayam bontot
POI,pt. inter tours dan travel,"pt. inter tours dan travel, ci"
POI,toko ps sume,"toko ps sume, pa"
POI,toko r dzn r collec cile,toko r dzn r collec cil
POI,bakso pak kardi,bakso pak kardi
POI,erzy auto modi,"erzy auto modi, al"
POI,teluk pucung,teluk pucung
POI,"mas jami al-kau, raya","mas jami al-kau, raya "
POI,pondok,"pondok laun,"
POI,traffic digital,traffic digital
POI,toko sembako udin,toko sembako udin
POI,mana galon,"mana galon, la"
POI,apotek solo,apotek solo
POI,dewan pimp daerah ors,"dewan pimp daerah ors, ken s"
POI,"pon war mi ayam pang, kaliw","pon war mi ayam pang, kaliw,"
POI,"war sayur ibu nano, kamp","war sayur ibu nano, k"
POI,axa mandiri insurance,axa mandiri insurance
POI,riama,riama
POI,sopo del tower,sopo del tower
POI,jaya,jaya cika
POI,"pemb, no 47","pemb, no 47 mie ba"
POI,mie ba',"pemb, no 47 mie ba"
POI,leuwiliang jembatan,leuwiliang jemba
POI,kost furia,kost furia jalur 6
POI,raya pon gede no 72,inten
POI,inten,inten
POI,cel cell dan anugerah pijat urat,"pete ii a, 78 cel cell dan anugerah"
POI,sri ratu,sri ratu
POI,pt silva,pt silva
POI,megu cilik cv danar pratama,megu cilik cv da
POI,mas al-muqqarrobun kar joang balikpapan,"mas al-muqqarrobun kar joang balikpapan, soek"
POI,taman deo sorong,taman deo sorong
POI,mulia minang,mulia minang
POI,toko susu rossy kids,toko susu rossy kids
POI,toko muri,toko muri
POI,chevo,"chevo, ma"
POI,s par coffee garden petisah,coffee garden
POI,"curug raya, 14 sd perm kasih","curug raya, 14 sd perm kasih indo"
POI,titan cell,titan cell
POI,pt. yesda cargo service,soya kecil
POI,balai desa dawu,balai desa dawu ke
POI,innovation factory,innovation factory
POI,apartemen,apartemen
POI,plamo garden,plamo garden
POI,ketoprak cire bang japra,"ketoprak cire bang japra, d"
POI,asrama tni ad,asrama tni ad
POI,"bank mand, pet","bank mand, p"
POI,nak 5 91 pt. rizki,nak 5 91 pt. rizki
POI,palm spring regency,palm spring regency
POI,perumahan tanjung selamat lestari,perumahan tanjung selamat lestari
POI,holi home,sanur holi home danau p
POI,bank bri,bank bri
POI,"yesa malika sentra gro cika, peru","yesa malika sentra gro cika, peru "
POI,naka the heal touch,kuri no 2 naka the heal to
POI,"rm bahagia masa pad, ment","rm bahagia masa pad, ment"
POI,adyastha motor,adyastha motor
POI,"raya darmo, no 139 dr. hari","raya darmo, no 139 dr. "
POI,lapau jo kudun,simpang patai
POI,gedung gramedia majalah,gedung gramedia majalah
POI,toko noval dan sasa jaya sejahtera,toko noval dan sasa jaya sejahtera
POI,warung kopi pahlawan twin vape,warung kopi pahlawan twin vape
POI,komplek mitra krekot,jalan samanhudi raya
POI,emplasmen,desa karang anyar
POI,toko musi die,"toko musi die, k"
POI,ud idup bin,ud idup bin teih
POI,komplek karya baru permai,komplek karya baru permai
POI,vihara maitri,vihara maitri
POI,gedung mnc financial center,gedung mnc financial center
POI,yes cafe dan cake,yes cafe dan cake
POI,"teun nyak arief, 2","teun nyak arief, "
POI,"keron, no","keron, no m 1 "
POI,ijul,ijul
POI,"raya jemu, no 86","raya jemu, no 86 depot bakso solo & mi"
POI,depot bakso solo & mie ayam sb barokah,"raya jemu, no 86 depot bakso solo & mi"
POI,"huru hara screenpr, mua,","huru hara screenpr, mua,"
POI,multi aluminium,multi aluminium
POI,terminal siantan,terminal siantan
POI,"kh ahmad dah, no",kh ahmad d
POI,toko ari,toko ari
POI,reina shoes,reina shoes
POI,king foto,king foto
POI,bustanussalam kel.,bustanussalam kel.
POI,yoga tama cv,yoga tama cv
POI,glo teleshop plaza,glo teleshop plaza mar margo
POI,kos wardoyo,kos wardoyo
POI,merta tegal genteng,merta tegal genteng
POI,"agni bak shop, sawa","agni bak shop, s"
POI,ubi cilembu magetan,ubi cilembu magetan
POI,warga jaya pd,warga jaya pd
POI,mall rosok pak yono,mall rosok pak yono
POI,toko m sain,toko m sain
POI,terminal pakusari,terminal pakusari
POI,kantor badan pertanahan kutai timur,kantor badan pertanahan kutai timur
POI,jaya maspion permata,jaya maspion permata
POI,ger kato stasi maria ratu damai,"ger kato stasi maria ratu damai dkb i,"
POI,"sektret ormas ampi pasa, batas","sektret ormas ampi pasa, batas "
POI,"kan lurah manum,","kan lurah manum,"
POI,ra muslimat tris,"ra muslimat tris,"
POI,toko aki motor dan mobil,toko aki motor dan mobil arya 76
POI,komplek telkom griya satwika,komplek telkom griya satwika
POI,"pen kauh, 18 la beaute","pen kauh, 18 la beaute s"
POI,terminal grogol,terminal grogol
POI,komplek polri cipinang atas,komplek polri cipinang atas
POI,ajis tay,"ajis tay, i"
POI,sancu,sancu
POI,rizky salon,rizky salon
POI,"ahmad yani, no 1","ahmad yani, no 1 pt haco lotim"
POI,pt haco lotim kantor cab,"ahmad yani, no 1 pt haco lotim"
POI,bb house,bb house
POI,"smp bethani indon s par,",smp bethani indon s p
POI,smk komp arya kar pratama (akp),"smk komp arya kar pratama (akp),"
POI,mulya mart mf,mulya mart mf
POI,raya dang,"raya dang, ma"
POI,kawaii,kawaii
POI,hard coffe,hard coffe
POI,bandar tinggi,bandar tinggi
POI,delta indo ud,delta indo ud
POI,graha aditya,graha aditya
POI,batik ista,batik ista haji ra
POI,ra an nasim,"ra an nasim, ra"
POI,sea mitra,sea mitra
POI,dr. rama tjan sp. og,"dr. rama tjan sp. og, t"
POI,"guntur men imperium, lantai","guntur men imperium, lanta"
POI,beng bubut zhani raya,beng bubut zhani ra
POI,saung piteuliheun,saung piteuliheun
POI,rusun cinta kasih tzu chi,rusun cinta kasih tzu chi
POI,gedung silver,gedung silver
POI,kedai cof 95 raya,kedai cof 95 ra
POI,rusun marunda 2,rusun marunda 2
POI,demak ijo,demak ijo
POI,indogrosir amplas,indogrosir amplas
POI,kamal raya outer,kamal raya outer r
POI,utan kayu utara retro,utan 
POI,perum griya mukti,perum griya mukti
POI,wartel 3 fa- - sukab,"wartel 3 fa- - sukab, tarog"
POI,dita tour travel,dita tour travel
POI,kamp jalur sut,kamp ja
POI,"agen kudo biro sim stnk komplek kehak, jl","agen kudo biro sim stnk komplek kehak, jl. pe"
POI,"kop usman, 77","kop usman, 77"
POI,sd negeri gadog 06,sd negeri gadog 06
POI,pecel lele mas gi,parak juar
POI,"war kopi mbah sukar, dr.","war kopi mbah sukar, d"
POI,"al-q collec, windusari","al-q collec, wi"
POI,ibu yayuk,palm spring regency
POI,sd negeri 5 gantung,sd negeri 5 gantung
POI,graha situsari permai,graha situsari permai
POI,"war 24 jam, raya","war 24 jam, r"
POI,elsa tour,elsa tour
POI,shinta,shinta
POI,adi jaya meu,"adi jaya meu, m"
POI,damri kantor pemasaran,"kebon kaw, no 22e damri kantor pemasar"
POI,depo keramik,depo keramik
POI,toko medi,toko medi
POI,"acc road ina,","acc road ina, perkebunan sipare-"
POI,permata mulia residence,permata mu
POI,adhe toko,adhe toko
POI,sengka mebel,"sengka mebel, si"
POI,tanah merah,tanah merah
POI,"jend sudi, no","jend sudi, no"
POI,dokter endra hari murti,dokter endra hari murti
POI,toko een,toko een
POI,indon jl,indon jl 
POI,jl wahidin no 37b,jl wahidin no 37
POI,toko kelon,"toko kelon, ra"
POI,halte t.gading,halte t.gading
POI,yayasan sri asih pratama palasari,yayasan sri asih pratama
POI,panca refl,"panca refl, be"
POI,kios yuyun,kios yuyun
POI,"pos indon, anyar","pos indon, an"
POI,"kh wahid has, no 15 nasi gan","kh wahid has, no 1"
POI,kantor jaga pln,"kantor jaga pln tempi,"
POI,jasa kompy,jasa kompy
POI,"hara abadi, panca",hara abadi
POI,mang trio,cakwe mang trio
POI,hidangan lezat,"hidangan lezat man, m"
POI,kapt. samadikun no 96 beng,kapt. samadikun no 
POI,"amd 36, no 3","amd 36, no 3 war k"
POI,"raya pon gede per, 30","raya pon gede per,"
POI,"teng, no 8",tiga jumpa. cv
POI,tiga jumpa. cv,tiga jumpa. cv
POI,eka cell,eka cell
POI,citra garden city,citra garden city
POI,salon lucky,salon lucky
POI,pammanu toko,pammanu toko b
POI,bsa fut,"bsa fut, p"
POI,perum titian puti,"raya padang pari, perum titian"
POI,perum dirgantara permai,perum dirgantara permai
POI,toko buku toga,"toko buku toga, s"
POI,mamat stiker kecubung,mamat stiker
POI,pt. nusa karya mandiri,pt. nusa karya mandiri
POI,sungai tuha kemang,sungai tuha
POI,auto mobil,auto mobil
POI,terminal pasar minggu,terminal pasar minggu
POI,sul agung,sul agung
POI,nun wedding gallery,nun wedding gallery rw
POI,taman motika,taman motika
POI,"vie pamella 7, raya","vie pamella 7, r"
POI,gardenia park,gardenia park
POI,"iwak cen indonesian nishikigoi,","iwak cen indonesian nishikigoi, ciwu"
POI,pusat dum serius,pusat dum serius
POI,toko ma cell,toko ma cell
POI,"raya ban sugi, no","raya ban sugi, n"
POI,sunrise mount,"kinta sunrise mount batur trekking, ki"
POI,syafei jagakarsa,syafei
POI,"tk dha wan, taman","tk dha wan, tama"
POI,area aqua naga,area aqua nag
POI,mojopahit jok,mojopahit jok
POI,perumahan bamboo residence,perumahan bamboo
POI,rusun pulo gebang,rusun pulo gebang
POI,villa mutiara bintaro,villa mutiara bintaro
POI,perumahan puri saujana 2,perumahan puri saujana 2
POI,bagan,bagan batu is
POI,"sd neg 1 jomb, kend","sd neg 1 jomb, kend "
POI,griya karya commuter jakarta,griya karya 
POI,masjid nurus shobah,masjid nurus shobah
POI,"kiha, 38","kiha, 38 alvi"
POI,bbm steak,bbm steak
POI,nutech integrasi,gedung philips baru
POI,gedung philips baru,gedung philips baru
POI,akhmad maxi photography,akhmad maxi photography
POI,komplek puri citra,komplek puri citra
POI,polaprince multilink indo pt,polaprince multilink indo pt p. 
POI,danau sun,sunter mall lt.2
POI,"nyomplong,","nyomplong,"
POI,medan baik,medan baik
POI,-klinik terapi masase cedera,-klinik t
POI,"dok gigi rira ban, let","dok gigi rira ban, let "
POI,perumahan bumi asri,perumahan bumi asri
POI,zai,"zai, m"
POI,taman kota jayak,"taman kota jayak, 1 li"
POI,toko mulyar park zenik,"toko mulyar park zenik, pi"
POI,pahl no 96,pahl no 
POI,mulyojati pasar,mulyojati pasar
POI,guraping rm simpang,guraping rm sim
POI,toko kelontong,toko kelontong
POI,inaq ibuk,inaq ibuk
POI,"sate kamb pak turut, kasat","sate kamb pak turut, k"
POI,"apo damiy ken,","apo damiy ken,"
POI,alwamyeshop,alwamyeshop
POI,komplek telkom griya satwika,komplek telkom griya satwika
POI,"maysend h. soem, 3",maysend h. soe
POI,"lapa tenis wisma mukti, klam","lapa tenis wisma mukti, kl"
POI,chicken day & day cafe ngan,"chicken day & day cafe ngan, y"
POI,anug pt,"anug pt, te"
POI,bakso pak lek rensing,bakso pak lek rensing
POI,"lin timur,",rumah makan citra selera
POI,rumah makan citra,rumah makan citra selera
POI,griya sekawan mudal,griya sekawan
POI,inti sarana bima sakti pt,inti sarana bima sakti pt
POI,hotel bint,"hotel bint, g"
POI,"war mbak nur, suka","war mbak nur, s"
POI,pt . petrogas wira jatim,gedung medan pemuda
POI,raya deing atas,raya deing atas kanto
POI,perumahan gerbang kencana,perumahan gerbang kencana
POI,ant sultan,ant su
POI,"pasar kran, no 4","pasar kran, no "
POI,rumah makan lau,"rumah makan lau, b"
POI,dina kreas (deka),"dina kreas (deka), raya k"
POI,ln masjid al baidho raya,masjid al baidho
POI,toko ud indo,"toko ud indo, ra"
POI,blackw bekasi timur,"blackw bekasi timur, ka"
POI,toko hj. ros,toko hj. ros
POI,balai desa bageng,balai desa bageng
POI,taman cerdas pajang,taman cerdas pajang
POI,kantor desa aeks,"kantor desa aeks,"
POI,amp toko,"amp toko, k"
